State,VEP_Turnout_Rate
Alabama,63.1
Alaska,68.4
Arizona,65.3
Arkansas,55.9
California,67.4
Colorado,75.5
Connecticut,70.1
Delaware,70
District of Columbia,63.7
Florida,71.2
Georgia,67.7
Hawaii,57
Idaho,67.1
Illinois,66.8
Indiana,60.7
Iowa,72.8
Kansas,65.8
Kentucky,64.5
Louisiana,63.7
Maine,75.5
Maryland,70.4
Massachusetts,71.6
Michigan,73.4
Minnesota,79.6
Mississippi,59.7
Missouri,65.7
Montana,72.3
Nebraska,69.1
Nevada,65.2
New Hampshire,74.6
New Jersey,73.9
New Mexico,61
New York,63
North Carolina,71.2
North Dakota,64
Ohio,66.8
Oklahoma,54.8
Oregon,74.3
Pennsylvania,70.7
Rhode Island,64.7
South Carolina,64
South Dakota,65.2
Tennessee,59.6
Texas,60.2
Utah,67.9
Vermont,73.5
Virginia,72
Washington,75.2
West Virginia,57
Wisconsin,75.5
Wyoming,64.2
